time,open,high,low,close,"DE05Y, TVC: Open","DE05Y, TVC: High","DE05Y, TVC: Low","DE05Y, TVC: Close","DE30Y, TVC: Open","DE30Y, TVC: High","DE30Y, TVC: Low","DE30Y, TVC: Close","DE10Y, TVC: Open","DE10Y, TVC: High","DE10Y, TVC: Low","DE10Y, TVC: Close",Volume,Volume MA,SMA1,SMA2,SMA3,SMA4
584607600,1193.02,1197.03,1168.24,1191.13,5.9289999,5.9749999,5.89599991,5.9749999,NaN,NaN,NaN,NaN,6.68400002,6.74800014,6.68400002,6.74800014,NaN,NaN,1111.8699899999983,1166.9795951999981,1270.5057976000012,1196.6513989000005
585212400,1194.87,1195.02,1152.5,1153.77,6.05000019,6.05000019,5.98699999,6,NaN,NaN,NaN,NaN,6.82000017,6.82000017,6.74900007,6.74900007,NaN,NaN,1125.4629899999984,1158.864995199998,1267.352497600001,1198.4197490000004
585817200,1150.4301,1185.6,1147.34,1181.72,6.03900003,6.13999987,6.03900003,6.11899996,NaN,NaN,NaN,NaN,6.80499983,6.82200003,6.80499983,6.80800009,NaN,NaN,1142.6979899999983,1151.2373951999982,1264.194697600001,1200.3333490000002
586422000,1187.13,1198.0601,1182.8101,1197.38,6.11899996,6.11899996,6.04799986,6.04799986,NaN,NaN,NaN,NaN,6.79300022,6.79300022,6.70599985,6.70599985,NaN,NaN,1156.878999999998,1144.2509951999982,1261.1924976000012,1202.3247491000004
587026800,1201.42,1203.53,1163.03,1173.5601,6.04799986,6.21099997,6.01499987,6.18599987,NaN,NaN,NaN,NaN,6.72800016,6.80200005,6.70599985,6.78700018,NaN,NaN,1164.0100099999981,1136.9181971999983,1258.3660986000011,1204.1745497000004
587631600,1170.72,1182.8101,1157.51,1170.78,6.19899988,6.20100021,6.1869998,6.20100021,NaN,NaN,NaN,NaN,6.78700018,6.82299995,6.78700018,6.80100012,NaN,NaN,1169.1730099999982,1130.3297971999982,1255.967898600001,1205.9489496000003
588236400,1166.99,1170.5601,1150.84,1157.65,6.21400023,6.29199982,6.20300007,6.2420001,NaN,NaN,NaN,NaN,6.82299995,6.85900021,6.77799988,6.77799988,NaN,NaN,1173.0530099999983,1123.2847971999984,1253.379398600001,1207.7571996000004
588841200,1152.49,1172.53,1151.3101,1157.29,6.22900009,6.25899982,6.22900009,6.23500013,NaN,NaN,NaN,NaN,6.75600004,6.77600002,6.72900009,6.77600002,NaN,NaN,1174.4320099999982,1116.3785971999982,1250.505298600001,1209.5286496000003
589446000,1174.8101,1189.53,1171.27,1186.61,6.17299986,6.17299986,6.04699993,6.04699993,NaN,NaN,NaN,NaN,6.67000008,6.67000008,6.63999987,6.63999987,NaN,NaN,1176.7410099999984,1110.2587971999983,1248.076398600001,1211.4241996000003
590050800,1198.8,1235.05,1194.09,1235.05,5.95800018,5.98600006,5.95699978,5.98400021,NaN,NaN,NaN,NaN,6.62599993,6.65399981,6.60400009,6.61000013,NaN,NaN,1180.494009999998,1104.0977971999985,1246.428898600001,1213.5864497000002
